f,Re,Im,Mag,Phase
0.04461315354668861,508.34214192918233,-580.5990497042892,771.690993713593,48.796307559656285
0.05174224290787917,465.75401529189014,-488.6299658690912,675.0452179711723,46.373078888481665
0.06001054595560399,452.14686971344247,-440.6763243024027,631.3734351335517,44.26393300573819
0.06960010667301911,440.8700130333068,-388.3582970488831,587.5274761904303,41.37652561829777
0.08072205929403439,434.95706259257753,-336.8068247600792,550.114972986675,37.75223041382311
0.09362127686501934,427.7834045631259,-296.41294375316954,520.441422682744,34.718253342731494
0.10858176263702381,418.0960752083633,-260.1273675449703,492.41301307998907,31.8886873480131
0.12593290299128784,407.42744895482736,-227.5689867621403,466.6741581636867,29.185583337391193
0.14605671956927269,400.7436076932803,-206.29422241518762,450.7246890385667,27.23843917936058
0.16939628027802212,393.1559980240922,-185.53627816037744,434.7359535349301,25.263335328631157
0.19646545435672702,387.09323353649313,-166.87920574594696,421.53272798222457,23.32128750737539
0.22786022628268457,382.6665959173242,-152.14518697094692,411.8032073082689,21.682373943249406
0.26427181761595264,376.338791837993,-137.05665464227124,400.51892942008504,20.01082624099621
0.30650190568755065,372.31135448803417,-122.08240704046162,391.81610327997953,18.154527632143438
0.35548027420245554,371.0320530353001,-107.46516890394737,386.2816937251152,16.153051758283638
0.4122852843723304,366.08423226772373,-101.38123794877475,379.86289700768987,15.479229198379437
0.47816761729278306,360.2320409940303,-94.48986068745232,372.41838989429465,14.69773119163385
0.5545778103032444,354.43471035548384,-87.00078862615918,364.95630029682917,13.791351425076078
0.6431981936000152,351.4658670542623,-82.02130593452327,360.909615182817,13.1359708390735
0.7459799302538054,347.79803142141037,-76.98419437254647,356.21627818475446,12.481034697104137
0.8651859751452193,343.4582364996429,-71.26083224621242,350.77295567342054,11.721441118688663
1.0034408986489824,338.23214487613564,-65.20407223275565,344.45980152006945,10.911568538515159
1.1637886720395263,333.7006361458501,-62.23218628627187,339.45391377050623,10.563800527302972
1.349759686884473,330.9897541481056,-59.31867343096833,336.26317426776495,10.160459909543242
1.5654484839981266,327.8152396948199,-55.991300616378076,332.5625612135044,9.692666298026914
1.815603903320447,324.0933801605943,-52.20216818737758,328.2705978722169,9.150120238096378
2.105733639559607,319.51759367273644,-49.26189104442736,323.2927876951308,8.764613806030141
2.442225505609272,316.45790519535836,-46.40528953610788,319.8422371381935,8.342378551983186
2.8324880736083373,313.6059675480226,-43.72867104196568,316.64001571631445,7.938041444999384
3.2851137901501635,310.13818345627953,-41.67784104558346,312.9260859560638,7.653824457564255
3.8100681569637658,306.1005679294061,-39.34375018452353,308.61867792680204,7.324190185308117
4.418909142275317,301.42511474982814,-37.22905074715085,303.71549519489616,7.040950195744878
5.125041653649891,299.52668075241104,-35.8214312670195,301.6610803875345,6.8198097817549845
5.9440126750653,297.31693985237905,-34.20793233442066,299.2783743570181,6.563331588492106
6.893853566277866,294.74358067394405,-32.362286142265056,296.51491684711516,6.2658687121569105
7.995477060916596,291.6535710883637,-31.126694660601476,293.30986456150697,6.091826433745808
9.273137704048935,288.6856332004791,-29.90881377394721,290.23082530586964,5.914934950995111
10.754965866714137,286.8906567583718,-28.68493612104254,288.3211308515527,5.709776576363671
